start time,Home,Home Goal,Away Goal,Away,Home Corner,Away Corner,HT Home Corner,HT Away Corner,Home Shots,Away Shots,Winner 
2023-05-15 13:30:00,Kamuzu Barracks,1,0,Red Lions,2,1,0,1,8,6,kamuzu Barracks
2023-05-14 13:28:04,Ekwendeni Hammers,1,0,Mafco,2,1,2,1,7,4,Ekwendeni Hammers
2023-05-13 13:30:00,Moyale Barracks,0,0,Mighty Wanderers,5,0,1,0,2,,Might Wanderers
2023-05-12 13:30:00,Bangwe All Stars,0,2,Big Bullets,4,1,1,0,8,10,Big Bullets
2023-05-07 13:30:00,Extreme FC,1,4,Kamuzu Barracks,3,7,1,4,7,16,kamuzu Barracks 
2023-05-07 13:30:00,Mighty Tigers,1,1,Mighty Wanderers,1,2,0,2,4,14,draw
2023-05-07 13:30:00,Ekwendeni Hammers,1,3,Silver Strikers,2,3,1,3,8,11,Silver Strickers
2023-05-06 13:30:00,Big Bullets,3,1,Moyale Barracks,3,6,3,2,10,4,Big Bullets
2023-04-30 13:30:00,Mighty Tigers,0,1,Civil Service Utd,3,9,3,4,10,8,Civil Service United 
2023-04-30 13:30:00,Silver Strikers,4,1,Red Lions,10,9,5,4,13,6,Silver Strickers 
2023-04-29 13:30:00,Mighty Wanderers,2,1,Ekwendeni Hammers,4,4,2,1,7,5,Mighty Wanderers 
2023-04-23 13:30:00,Ekwendeni Hammers,0,0,Moyale Barracks,4,2,3,1,5,7,Draw
2023-04-22 13:30:00,Blue Eagles,0,1,Silver Strikers,1,3,1,2,8,6,Silver Strickers 
2023-04-16 13:30:00,Blue Eagles,1,1,Red Lions,11,2,5,1,12,7,draw
2023-04-16 13:30:00,Ekwendeni Hammers,0,0,Kamuzu Barracks,6,2,6,1,4,3,draw
2023-04-15 13:30:00,Moyale Barracks,1,1,Karonga United,3,1,2,1,4,5,draw
2023-04-15 13:30:00,Silver Strikers,1,1,Big Bullets,7,7,2,5,10,5,draw
2022-11-19 12:30:00,Nyasa Big Bullets FC,2,1,Dedza Dynamos,9,3,3,3,9,3,Big Bullets 
2022-11-05 12:30:00,Blue Eagles,1,0,Sable Farming,9,2,7,1,9,6,Blue Eagles
2022-10-29 15:30:00,Blue Eagles,1,0,Mighty Wanderers,8,5,4,1,12,4,Blue Eagles
2022-10-29 13:30:00,CIVO United,1,0,Ekwendeni Hammers,7,3,4,2,8,9,Civil Service United 
2022-10-23 13:30:00,Blue Eagles,4,0,Dedza Dynamos,0,3,0,0,11,6,Blue Eagles 
2022-10-22 13:30:00,Mafco,2,0,Sable Farming,4,2,3,1,18,7,Mafco
2022-10-19 13:30:00,Sable Farming,1,5,Nyasa Big Bullets FC,4,5,1,4,7,11,Big Bullets 
2022-10-09 13:30:00,Ekwendeni Hammers,1,0,Blue Eagles,6,2,4,1,11,14,Ekwendeni Hammers 
2022-10-09 13:30:00,Silver Strikers,2,2,Big Bullets,10,3,9,2,12,6,draw
2022-10-02 13:30:00,Ekwendeni Hammers,4,0,Karonga United,1,1,0,1,11,11,Ekwendeni Hammers 
2022-10-01 13:30:00,Moyale Barracks,3,1,Rumphi United,6,6,3,4,7,8,Moyale Barracks
2022-10-01 13:30:00,Silver Strikers,0,1,Blue Eagles,4,4,1,2,8,8,Blue Eagles 
2022-09-25 13:30:00,CIVO United,2,2,Moyale Barracks,4,1,2,0,12,10,draw
2022-09-25 13:30:00,Silver Strikers,0,0,Karonga United,4,1,2,0,14,6,draw
2022-09-25 13:30:00,TN Stars,0,1,Ekwendeni Hammers,6,1,4,0,11,7,Ekwendeni Hammers 
2022-09-18 13:30:00,Mighty Wanderers,1,0,Silver Strikers,1,7,1,3,7,10,Mighty Wanderers 
2022-09-14 13:30:00,Kamuzu Barracks,2,0,Dedza Dynamos,8,4,3,3,17,10,Kamuzu Barracks 
2022-09-11 13:30:00,Dedza Dynamos,2,2,Mighty Wanderers,4,3,3,1,8,4,draw
2022-09-11 13:30:00,Moyale Barracks,1,0,Sable Farming,3,2,2,1,8,7,Moyale Barracks 
2022-09-10 13:30:00,Ekwendeni Hammers,2,0,Sable Farming,10,1,3,1,11,6,Ekwendeni Hammers 
2022-09-10 13:30:00,Red Lions,0,1,Kamuzu Barracks,1,4,0,2,10,15,Kamuzu Barracks 
2022-09-04 13:30:00,Kamuzu Barracks,5,2,Rumphi United,3,4,0,2,,,Kamuzu Barracks 
2022-09-03 13:31:57,Dedza Dynamos,1,0,Rumphi United,2,3,0,0,11,11,Dedza Dynamos
